縣市,鄉鎮市區,門市店名,門市店號,地址,緯度,經度
臺北市,大安區,富運門市,10667,臺北市大安區復興南路二段279號,25.025515,121.5436754
臺北市,大安區,臥龍門市,10670,臺北市大安區和平東路3段7號1樓,25.024964,121.546937
臺北市,大安區,安居門市,10672,臺北市大安區安居街5號1樓,25.0211898,121.5552728
臺北市,大安區,新通化門市,10677,臺北市大安區通化街28號,25.0313158,121.5540701
臺北市,大安區,安和門市,10681,臺北市大安區信義路4段261號,25.033399,121.5539955
臺北市,大安區,大安門市,10683,臺北市大安區信義路四段54號1樓,25.0331519,121.5452453
臺北市,大安區,明曜門市,10686,臺北市大安區忠孝東路四段216巷32弄20號1樓,25.0398318,121.5519591
臺北市,大安區,東捷門市,10688,臺北市大安區大安路一段77號B1，店鋪編號7-1、7-2店面,25.0419764,121.5463539
臺北市,大安區,忠復門市,10691,臺北市大安區忠孝東路四段67號1樓及67號地下1樓,25.0418903,121.552855
臺北市,大安區,延吉門市,10692,臺北市大安區忠孝東路四段250號,25.0411499,121.554327
臺北市,萬華區,漢中門市,10842,臺北市萬華區漢中街47號1-3樓,25.044207,121.507549
臺北市,萬華區,成都門市,10845,臺北市萬華區成都路54號,25.0426052,121.5060156
臺北市,萬華區,西園門市,10864,臺北市萬華區西園路二段219號1樓,25.0270176,121.4941314
臺北市,萬華區,新青年門市,10876,臺北市萬華區青年路8號,25.026191,121.506185
臺北市,信義區,吳興門市,11041,臺北市信義區吳興街141號1樓,25.02943,121.561784
臺北市,信義區,北醫門市,11042,臺北市信義區吳興街265號1、2樓,25.026955,121.5638068
臺北市,信義區,微風南山,11047,臺北市信義區松智路17號B2,25.0343073,121.5659555
臺北市,信義區,莊敬門市,11050,臺北市信義區莊敬路466-1、466-2、472號,25.026595,121.5680641
臺北市,信義區,六張犁門市,11052,臺北市信義區基隆路二段201-1號1樓及崇德街＆崇德街３號,25.0245142,121.5531854
臺北市,信義區,新虎林門市,11061,臺北市信義區忠孝東路5段468號1、2樓,25.04066,121.576827
臺北市,信義區,永吉門市,11064,臺北市信義區永吉路30巷104號,25.043421,121.5686384
臺北市,信義區,時代門市,11065,臺北市信義區忠孝東路五段6號1樓、櫃位編號：丙,25.0406332,121.5650073
臺北市,信義區,遠東信義,11073,臺北市信義區松仁路58號 遠東百貨B3(216櫃),25.036882,121.5683138
臺北市,信義區,松捷門市,11088,臺北市信義區松山路11號(B1樓)B3B4櫃位,25.0491901,121.5782994
臺北市,信義區,松山門市,11088,臺北市信義區松山路105號,25.0478529,121.578009
臺北市,士林區,文大門市,11114,臺北市士林區華岡路55號(大忠館),25.1356066,121.5380431
臺北市,士林區,德行門市,11148,臺北市士林區德行東路109巷106號1樓,25.1110097,121.5288772
臺北市,士林區,天喜門市,11153,臺北市士林區天母東路19號.21號,25.1182166,121.5317412
臺北市,士林區,芝山門市,11158,臺北市士林區福華路164巷6號,25.1042621,121.5227731
臺北市,士林區,仕運門市,11163,臺北市士林區中正路235巷2號,25.0950274,121.5259493
臺北市,士林區,社子門市,11164,臺北市士林區社正路51號,25.0889863,121.5098384
臺北市,士林區,劍潭門市,11167,臺北市士林區劍潭路13號1樓,25.084209,121.523012
臺北市,北投區,光明門市,11246,臺北市北投區光明路29、31號,25.1326946,121.4992727
臺北市,北投區,新泉源門市,11252,臺北市北投區中和街294號1+2樓,25.140643,121.500198
臺北市,北投區,智行門市,11260,臺北市北投區知行路306號,25.1221836,121.4674004
臺北市,北投區,石牌門市,11267,臺北市北投區石牌路二段12號1、2、3樓,25.1154245,121.515627
臺北市,北投區,金賢門市,11275,臺北市北投區尊賢街232號.234號,25.1163217,121.5076898
臺北市,北投區,明德門市,11280,臺北市北投區明德路88號,25.1093515,121.5195639
臺北市,內湖區,麗山門市,11444,臺北市內湖區內湖路一段419號,25.0816265,121.5712755
臺北市,內湖區,新湖門市,11444,臺北市內湖區內湖路一段287號,25.0823473,121.5669674
臺北市,內湖區,麗湖門市,11447,臺北市內湖區內湖路一段737巷47號,25.0802885,121.579066
臺北市,內湖區,新大湖門市,11458,臺北市內湖區成功路四段372號,25.0848269,121.6005542
臺北市,內湖區,內湖成功門市,11460,臺北市內湖區成功路三段174巷10號1樓,25.0811297,121.5904058
臺北市,內湖區,新葫洲門市,11466,臺北市內湖區民權東路六段298號1.2樓;302號2樓;328號2樓,25.0727082,121.6054516
臺北市,內湖區,明湖門市,11487,臺北市內湖區東湖路47號1樓,25.0689053,121.6142201
臺北市,內湖區,文湖門市,11489,臺北市內湖區成功路四段56號1樓,25.0824382,121.5923796
臺北市,南港區,佳樂門市,11553,臺北市南港區南港路二段8、10號1、2樓,25.0543939,121.6059049
臺北市,南港區,聯運門市,11558,臺北市南港區忠孝東路六段446號1、2樓,25.0502135,121.5939889
臺北市,南港區,南港門市,11561,臺北市南港區忠孝東路七段371號B1,25.0519287,121.604662
臺北市,南港區,後山埤門市,11575,臺北市南港區忠孝東路六段8號1樓,25.0453665,121.5831192
臺北市,文山區,新政大門市,11651,臺北市文山區指南路二段79號1、2樓,24.9878905,121.5750816
臺北市,文山區,興隆門市,11661,臺北市文山區興隆路四段155號1樓,24.9846595,121.5617725
臺北市,文山區,新萬隆門市,11675,臺北市文山區羅斯福路五段238號1.2樓,,
